 n     ch_hole col3 col4 col5
      77 -0.11489066E+00 -0.39566759E-18 -0.76075473E+01  0.56990402E-17
      78 -0.12294946E+00 -0.20529812E-18 -0.76075473E+01  0.56990402E-17
      79 -0.12533953E+00 -0.14866201E-18 -0.76075473E+01  0.56990402E-17
      80 -0.13061620E+00 -0.17043301E-18 -0.76075473E+01  0.56990402E-17
      81 -0.13997755E+00 -0.20677872E-18 -0.76075473E+01  0.56990402E-17
      82 -0.15062057E+00 -0.30129711E-18 -0.76075473E+01  0.56990402E-17
      83 -0.15527975E+00  0.18990881E-19 -0.76075473E+01  0.56990402E-17
      84 -0.15817418E+00  0.31344961E-18 -0.76075473E+01  0.56990402E-17
      85 -0.16368616E+00  0.37072036E-18 -0.76075473E+01  0.56990402E-17
      86 -0.16632947E+00  0.32954485E-18 -0.76075473E+01  0.56990402E-17
      87 -0.17279079E+00  0.17653021E-18 -0.76075473E+01  0.56990402E-17
      88 -0.17906146E+00  0.40152558E-18 -0.76075473E+01  0.56990402E-17
      89 -0.18346284E+00  0.32719976E-18 -0.76075473E+01  0.56990402E-17
      90 -0.18683039E+00  0.37483196E-18 -0.76075473E+01  0.56990402E-17
      91 -0.19221493E+00  0.25646811E-18 -0.76075473E+01  0.56990402E-17
      92 -0.19529024E+00  0.46630284E-18 -0.76075473E+01  0.56990402E-17
      93 -0.19629814E+00  0.56691552E-18 -0.76075473E+01  0.56990402E-17
      94 -0.19867251E+00  0.54540401E-18 -0.76075473E+01  0.56990402E-17
      95 -0.20059950E+00  0.41835255E-18 -0.76075473E+01  0.56990402E-17
      96 -0.20554178E+00  0.46136013E-18 -0.76075473E+01  0.56990402E-17
      97 -0.20961917E+00  0.59342834E-18 -0.76075473E+01  0.56990402E-17
      98 -0.21295067E+00  0.65758684E-18 -0.76075473E+01  0.56990402E-17
      99 -0.21505945E+00  0.58744885E-18 -0.76075473E+01  0.56990402E-17
     100 -0.21517590E+00  0.57527573E-18 -0.76075473E+01  0.56990402E-17
     101 -0.21603261E+00  0.55938219E-18 -0.76075473E+01  0.56990402E-17
     102 -0.21819178E+00  0.56842073E-18 -0.76075473E+01  0.56990402E-17
     103 -0.21783383E+00  0.39321164E-18 -0.76075473E+01  0.56990402E-17
     104 -0.21849968E+00  0.24252441E-18 -0.76075473E+01  0.56990402E-17
     105 -0.22088631E+00  0.22931173E-18 -0.76075473E+01  0.56990402E-17
     106 -0.22278952E+00  0.24819161E-18 -0.76075473E+01  0.56990402E-17
     107 -0.22107348E+00 -0.21078008E-19 -0.76075473E+01  0.56990402E-17
     108 -0.21842845E+00 -0.22029197E-18 -0.76075473E+01  0.56990402E-17
     109 -0.21952629E+00 -0.31159728E-18 -0.76075473E+01  0.56990402E-17
     110 -0.22206380E+00 -0.44845901E-18 -0.76075473E+01  0.56990402E-17
     111 -0.21261922E+00  0.30142916E-19 -0.76075473E+01  0.56990402E-17
     112 -0.20895616E+00 -0.11625599E-19 -0.76075473E+01  0.56990402E-17
     113 -0.20541208E+00 -0.29452882E-19 -0.76075473E+01  0.56990402E-17
     114 -0.19943626E+00 -0.85766944E-19 -0.76075473E+01  0.56990402E-17
     115 -0.19803521E+00 -0.82490926E-19 -0.76075473E+01  0.56990402E-17
     116 -0.19473889E+00 -0.19140221E-18 -0.76075473E+01  0.56990402E-17
     117 -0.19280473E+00 -0.29895935E-18 -0.76075473E+01  0.56990402E-17
     118 -0.18895264E+00 -0.13564328E-18 -0.76075473E+01  0.56990402E-17
     119 -0.18835594E+00 -0.38495643E-18 -0.76075473E+01  0.56990402E-17
     120 -0.18850193E+00 -0.44091754E-18 -0.76075473E+01  0.56990402E-17
     121 -0.18567395E+00 -0.98235418E-18 -0.76075473E+01  0.56990402E-17
     122 -0.18614879E+00 -0.10037984E-17 -0.76075473E+01  0.56990402E-17
     123 -0.18799017E+00 -0.10930534E-17 -0.76075473E+01  0.56990402E-17
     124 -0.19022366E+00 -0.11905288E-17 -0.76075473E+01  0.56990402E-17
     125 -0.18703482E+00 -0.11020510E-17 -0.76075473E+01  0.56990402E-17
     126 -0.18546095E+00 -0.11584405E-17 -0.76075473E+01  0.56990402E-17
     127 -0.18533136E+00 -0.11168257E-17 -0.76075473E+01  0.56990402E-17
     128 -0.18484846E+00 -0.12093311E-17 -0.76075473E+01  0.56990402E-17
     129 -0.18552637E+00 -0.13450375E-17 -0.76075473E+01  0.56990402E-17
     130 -0.18239159E+00 -0.13987504E-17 -0.76075473E+01  0.56990402E-17
     131 -0.18187031E+00 -0.14550295E-17 -0.76075473E+01  0.56990402E-17
     132 -0.18009402E+00 -0.15345148E-17 -0.76075473E+01  0.56990402E-17
     133 -0.17925152E+00 -0.15749538E-17 -0.76075473E+01  0.56990402E-17
     134 -0.17857538E+00 -0.14627330E-17 -0.76075473E+01  0.56990402E-17
     135 -0.17983428E+00 -0.14660196E-17 -0.76075473E+01  0.56990402E-17
     136 -0.18054197E+00 -0.14627825E-17 -0.76075473E+01  0.56990402E-17
     137 -0.17724651E+00 -0.15058760E-17 -0.76075473E+01  0.56990402E-17
     138 -0.17221127E+00 -0.15835176E-17 -0.76075473E+01  0.56990402E-17
     139 -0.17218363E+00 -0.15871801E-17 -0.76075473E+01  0.56990402E-17
     140 -0.17067284E+00 -0.16665155E-17 -0.76075473E+01  0.56990402E-17
     141 -0.16894748E+00 -0.16131546E-17 -0.76075473E+01  0.56990402E-17
     142 -0.16566265E+00 -0.20381062E-17 -0.76075473E+01  0.56990402E-17
     143 -0.16491660E+00 -0.20860071E-17 -0.76075473E+01  0.56990402E-17
     144 -0.15940004E+00 -0.21680500E-17 -0.76075473E+01  0.56990402E-17
     145 -0.16061829E+00 -0.22299537E-17 -0.76075473E+01  0.56990402E-17
     146 -0.15513633E+00 -0.22361502E-17 -0.76075473E+01  0.56990402E-17
     147 -0.14405459E+00 -0.23421180E-17 -0.76075473E+01  0.56990402E-17
     148 -0.14183845E+00 -0.22856738E-17 -0.76075473E+01  0.56990402E-17
     149 -0.13710599E+00 -0.25545736E-17 -0.76075473E+01  0.56990402E-17
     150 -0.12970447E+00 -0.25863848E-17 -0.76075473E+01  0.56990402E-17
     151 -0.11808133E+00 -0.28133761E-17 -0.76075473E+01  0.56990402E-17
     152 -0.10887780E+00 -0.29291948E-17 -0.76075473E+01  0.56990402E-17
     153 -0.97282982E-01 -0.27078753E-17 -0.76075473E+01  0.56990402E-17
     154 -0.88925719E-01 -0.21714283E-17 -0.76075473E+01  0.56990402E-17
     155 -0.80813857E-01 -0.21594464E-17 -0.76075473E+01  0.56990402E-17
     156 -0.73597985E-01 -0.20539121E-17 -0.76075473E+01  0.56990402E-17
     157 -0.63915469E-01 -0.20746153E-17 -0.76075473E+01  0.56990402E-17
     158 -0.60120407E-01 -0.22387363E-17 -0.76075473E+01  0.56990402E-17
     159 -0.51709848E-01 -0.22878792E-17 -0.76075473E+01  0.56990402E-17
     160 -0.40458854E-01 -0.24123321E-17 -0.76075473E+01  0.56990402E-17
     161 -0.50362902E-01 -0.19383186E-17 -0.76075473E+01  0.56990402E-17
     162 -0.51139129E-01 -0.18622346E-17 -0.76075473E+01  0.56990402E-17
     163 -0.50906298E-01 -0.19191863E-17 -0.76075473E+01  0.56990402E-17
     164 -0.52675296E-01 -0.15674597E-17 -0.76075473E+01  0.56990402E-17
     165 -0.54559664E-01 -0.14270723E-17 -0.76075473E+01  0.56990402E-17
     166 -0.57880166E-01 -0.13160857E-17 -0.76075473E+01  0.56990402E-17
     167 -0.60172132E-01 -0.13306492E-17 -0.76075473E+01  0.56990402E-17
     168 -0.60998958E-01 -0.12715149E-17 -0.76075473E+01  0.56990402E-17
     169 -0.60133685E-01 -0.11871507E-17 -0.76075473E+01  0.56990402E-17
     170 -0.62367255E-01 -0.13214402E-17 -0.76075473E+01  0.56990402E-17
     171 -0.66263834E-01 -0.14375974E-17 -0.76075473E+01  0.56990402E-17
     172 -0.67706710E-01 -0.14670747E-17 -0.76075473E+01  0.56990402E-17
     173 -0.75010807E-01 -0.10413073E-17 -0.76075473E+01  0.56990402E-17
     174 -0.78309479E-01 -0.77118701E-18 -0.76075473E+01  0.56990402E-17
     175 -0.88635567E-01 -0.76618195E-18 -0.76075473E+01  0.56990402E-17
     176 -0.90541658E-01 -0.74387169E-18 -0.76075473E+01  0.56990402E-17
     177 -0.93603074E-01 -0.99798296E-18 -0.76075473E+01  0.56990402E-17
     178 -0.98477614E-01 -0.95149291E-18 -0.76075473E+01  0.56990402E-17
     179 -0.10127956E+00 -0.92582566E-18 -0.76075473E+01  0.56990402E-17
     180 -0.10341866E+00 -0.97409891E-18 -0.76075473E+01  0.56990402E-17
     181 -0.10696057E+00 -0.83873624E-18 -0.76075473E+01  0.56990402E-17
     182 -0.10982843E+00 -0.63083274E-18 -0.76075473E+01  0.56990402E-17
     183 -0.11436891E+00 -0.80232981E-18 -0.76075473E+01  0.56990402E-17
     184 -0.11220613E+00 -0.94420120E-18 -0.76075473E+01  0.56990402E-17
     185 -0.11056492E+00 -0.94110718E-18 -0.76075473E+01  0.56990402E-17
     186 -0.10991014E+00 -0.95431555E-18 -0.76075473E+01  0.56990402E-17
     187 -0.10217400E+00 -0.12475215E-17 -0.76075473E+01  0.56990402E-17
     188 -0.10128053E+00 -0.13271257E-17 -0.76075473E+01  0.56990402E-17
     189 -0.93513284E-01 -0.14648963E-17 -0.76075473E+01  0.56990402E-17
     190 -0.85927625E-01 -0.13746333E-17 -0.76075473E+01  0.56990402E-17
     191 -0.83879961E-01 -0.12914475E-17 -0.76075473E+01  0.56990402E-17
     192 -0.76523657E-01 -0.13217652E-17 -0.76075473E+01  0.56990402E-17
     193 -0.77063679E-01 -0.13345964E-17 -0.76075473E+01  0.56990402E-17
     194 -0.76478196E-01 -0.12560150E-17 -0.76075473E+01  0.56990402E-17
     195 -0.73395675E-01 -0.11437847E-17 -0.76075473E+01  0.56990402E-17
     196 -0.72554337E-01 -0.10379284E-17 -0.76075473E+01  0.56990402E-17
     197 -0.69444094E-01 -0.10705087E-17 -0.76075473E+01  0.56990402E-17
     198 -0.68026318E-01 -0.13099364E-17 -0.76075473E+01  0.56990402E-17
     199 -0.70075787E-01 -0.13055226E-17 -0.76075473E+01  0.56990402E-17
     200 -0.66963465E-01 -0.13043908E-17 -0.76075473E+01  0.56990402E-17
     201 -0.67311282E-01 -0.15962968E-17 -0.76075473E+01  0.56990402E-17
     202 -0.66918615E-01 -0.18178474E-17 -0.76075473E+01  0.56990402E-17
     203 -0.65630703E-01 -0.18296904E-17 -0.76075473E+01  0.56990402E-17
     204 -0.64739350E-01 -0.15311399E-17 -0.76075473E+01  0.56990402E-17
     205 -0.62629740E-01 -0.12698338E-17 -0.76075473E+01  0.56990402E-17
     206 -0.63094066E-01 -0.10975353E-17 -0.76075473E+01  0.56990402E-17
     207 -0.61514012E-01 -0.10900523E-17 -0.76075473E+01  0.56990402E-17
     208 -0.61572256E-01 -0.10797412E-17 -0.76075473E+01  0.56990402E-17
     209 -0.63261869E-01 -0.10084743E-17 -0.76075473E+01  0.56990402E-17
     210 -0.64101469E-01 -0.88720370E-18 -0.76075473E+01  0.56990402E-17
     211 -0.60399070E-01 -0.91058827E-18 -0.76075473E+01  0.56990402E-17
     212 -0.62213761E-01 -0.83147757E-18 -0.76075473E+01  0.56990402E-17
     213 -0.64764342E-01 -0.89138144E-18 -0.76075473E+01  0.56990402E-17
     214 -0.64603699E-01 -0.94346492E-18 -0.76075473E+01  0.56990402E-17
     215 -0.63362648E-01 -0.94818936E-18 -0.76075473E+01  0.56990402E-17
     216 -0.64030055E-01 -0.10108180E-17 -0.76075473E+01  0.56990402E-17
     217 -0.61765679E-01 -0.10459958E-17 -0.76075473E+01  0.56990402E-17
     218 -0.58937553E-01 -0.10495180E-17 -0.76075473E+01  0.56990402E-17
     219 -0.58634620E-01 -0.10542660E-17 -0.76075473E+01  0.56990402E-17
     220 -0.58205085E-01 -0.10692619E-17 -0.76075473E+01  0.56990402E-17
     221 -0.56432529E-01 -0.99211513E-18 -0.76075473E+01  0.56990402E-17
     222 -0.56642680E-01 -0.99276537E-18 -0.76075473E+01  0.56990402E-17
     223 -0.56528130E-01 -0.99195429E-18 -0.76075473E+01  0.56990402E-17
     224 -0.56295164E-01 -0.98540552E-18 -0.76075473E+01  0.56990402E-17
     225 -0.57318751E-01 -0.93045873E-18 -0.76075473E+01  0.56990402E-17
     226 -0.57135798E-01 -0.89620404E-18 -0.76075473E+01  0.56990402E-17
     227 -0.56486338E-01 -0.94852258E-18 -0.76075473E+01  0.56990402E-17
     228 -0.56053626E-01 -0.82983027E-18 -0.76075473E+01  0.56990402E-17
     229 -0.53813427E-01 -0.87441274E-18 -0.76075473E+01  0.56990402E-17
     230 -0.54015759E-01 -0.93775199E-18 -0.76075473E+01  0.56990402E-17
     231 -0.54053637E-01 -0.93130672E-18 -0.76075473E+01  0.56990402E-17
     232 -0.54525165E-01 -0.10134674E-17 -0.76075473E+01  0.56990402E-17
     233 -0.55424843E-01 -0.10261569E-17 -0.76075473E+01  0.56990402E-17
     234 -0.55852952E-01 -0.10233266E-17 -0.76075473E+01  0.56990402E-17
     235 -0.56070020E-01 -0.10239527E-17 -0.76075473E+01  0.56990402E-17
     236 -0.57733255E-01 -0.10649939E-17 -0.76075473E+01  0.56990402E-17
     237 -0.59508125E-01 -0.10731027E-17 -0.76075473E+01  0.56990402E-17
     238 -0.60789696E-01 -0.10602409E-17 -0.76075473E+01  0.56990402E-17
     239 -0.61339744E-01 -0.96171867E-18 -0.76075473E+01  0.56990402E-17
