n     ch_hole col3
     526 -0.50433264E+01 -0.12891573E-17
     527 -0.50443506E+01 -0.12891012E-17
     528 -0.50447806E+01 -0.12891193E-17
     529 -0.50453189E+01 -0.12891384E-17
     530 -0.50460446E+01 -0.12891604E-17
     531 -0.50463974E+01 -0.12891591E-17
     532 -0.50469626E+01 -0.12891754E-17
     533 -0.50480314E+01 -0.12891725E-17
     534 -0.50486893E+01 -0.12892502E-17
     535 -0.50492578E+01 -0.12892820E-17
     536 -0.50503794E+01 -0.12893083E-17
     537 -0.50514095E+01 -0.12892970E-17
     538 -0.50518334E+01 -0.12892615E-17
     539 -0.50524771E+01 -0.12893364E-17
     540 -0.50533951E+01 -0.12893492E-17
     541 -0.50540100E+01 -0.12893743E-17
     542 -0.50545760E+01 -0.12893940E-17
     543 -0.50551036E+01 -0.12893865E-17
     544 -0.50555796E+01 -0.12894528E-17
     545 -0.50562449E+01 -0.12895031E-17
     546 -0.50567126E+01 -0.12895082E-17
     547 -0.50571690E+01 -0.12895486E-17
     548 -0.50578174E+01 -0.12895429E-17
     549 -0.50584505E+01 -0.12895740E-17
     550 -0.50591612E+01 -0.12895840E-17
     551 -0.50597824E+01 -0.12895334E-17
     552 -0.50607355E+01 -0.12895284E-17
     553 -0.50612877E+01 -0.12895754E-17
     554 -0.50628671E+01 -0.12895487E-17
     555 -0.50636377E+01 -0.12895906E-17
     556 -0.50646141E+01 -0.12895977E-17
     557 -0.50652767E+01 -0.12896133E-17
     558 -0.50659030E+01 -0.12895962E-17
     559 -0.50667211E+01 -0.12895909E-17
     560 -0.50674194E+01 -0.12896053E-17
     561 -0.50685753E+01 -0.12896244E-17
     562 -0.50691237E+01 -0.12896525E-17
     563 -0.50699814E+01 -0.12897159E-17
     564 -0.50705019E+01 -0.12897234E-17
     565 -0.50710815E+01 -0.12897384E-17
     566 -0.50715090E+01 -0.12897267E-17
     567 -0.50721833E+01 -0.12897155E-17
     568 -0.50727993E+01 -0.12897239E-17
     569 -0.50735883E+01 -0.12896876E-17
     570 -0.50744025E+01 -0.12897131E-17
     571 -0.50749579E+01 -0.12897200E-17
     572 -0.50755297E+01 -0.12897090E-17
     573 -0.50761942E+01 -0.12897073E-17
     574 -0.50770957E+01 -0.12897320E-17
     575 -0.50774034E+01 -0.12897371E-17
     576 -0.50780253E+01 -0.12897471E-17
     577 -0.50784145E+01 -0.12897736E-17
     578 -0.50789315E+01 -0.12897850E-17
     579 -0.50791848E+01 -0.12897695E-17
     580 -0.50796690E+01 -0.12897817E-17
     581 -0.50801420E+01 -0.12897920E-17
     582 -0.50808128E+01 -0.12898107E-17
     583 -0.50815666E+01 -0.12898462E-17
     584 -0.50826641E+01 -0.12898868E-17
     585 -0.50835978E+01 -0.12898474E-17
     586 -0.50846423E+01 -0.12898499E-17
     587 -0.50852601E+01 -0.12899083E-17
