 n     ch_hole col3
     925 -0.52870556E+01 -0.12766960E-17
     926 -0.52876890E+01 -0.12766461E-17
     927 -0.52882354E+01 -0.12766536E-17
     928 -0.52886960E+01 -0.12766573E-17
     929 -0.52892845E+01 -0.12766714E-17
     930 -0.52899223E+01 -0.12766821E-17
     931 -0.52905269E+01 -0.12766673E-17
     932 -0.52910302E+01 -0.12767096E-17
     933 -0.52914643E+01 -0.12767107E-17
     934 -0.52917969E+01 -0.12767269E-17
     935 -0.52923056E+01 -0.12767469E-17
     936 -0.52927047E+01 -0.12767414E-17
     937 -0.52931112E+01 -0.12767062E-17
     938 -0.52936831E+01 -0.12767178E-17
     939 -0.52945122E+01 -0.12767546E-17
     940 -0.52950312E+01 -0.12767534E-17
     941 -0.52955939E+01 -0.12767367E-17
     942 -0.52962632E+01 -0.12767085E-17
     943 -0.52971777E+01 -0.12767383E-17
     944 -0.52974993E+01 -0.12767493E-17
     945 -0.52986893E+01 -0.12767912E-17
     946 -0.52991636E+01 -0.12767654E-17
     947 -0.52997060E+01 -0.12767837E-17
     948 -0.53003120E+01 -0.12767587E-17
     949 -0.53009450E+01 -0.12767602E-17
     950 -0.53015066E+01 -0.12767355E-17
     951 -0.53021443E+01 -0.12767687E-17
     952 -0.53029583E+01 -0.12768098E-17
     953 -0.53032104E+01 -0.12768077E-17
     954 -0.53039396E+01 -0.12768511E-17
     955 -0.53043499E+01 -0.12768482E-17
     956 -0.53046798E+01 -0.12768447E-17
     957 -0.53056476E+01 -0.12768070E-17
     958 -0.53059921E+01 -0.12768443E-17
     959 -0.53065090E+01 -0.12768556E-17
     960 -0.53070420E+01 -0.12768498E-17
     961 -0.53081588E+01 -0.12768184E-17
     962 -0.53086655E+01 -0.12768072E-17
     963 -0.53095365E+01 -0.12768307E-17
     964 -0.53099147E+01 -0.12768105E-17
     965 -0.53103486E+01 -0.12767905E-17
     966 -0.53107200E+01 -0.12767818E-17
     967 -0.53111512E+01 -0.12767800E-17
     968 -0.53116376E+01 -0.12767703E-17
     969 -0.53120063E+01 -0.12767770E-17
     970 -0.53123382E+01 -0.12767818E-17
     971 -0.53128219E+01 -0.12767753E-17
     972 -0.53131275E+01 -0.12767728E-17
     973 -0.53135383E+01 -0.12767801E-17
     974 -0.53139144E+01 -0.12767713E-17
     975 -0.53144362E+01 -0.12767866E-17
     976 -0.53151811E+01 -0.12767707E-17
     977 -0.53157302E+01 -0.12767848E-17
     978 -0.53164062E+01 -0.12767865E-17
     979 -0.53167894E+01 -0.12767941E-17
     980 -0.53174208E+01 -0.12768118E-17
     981 -0.53178614E+01 -0.12768279E-17
     982 -0.53182311E+01 -0.12768269E-17
     983 -0.53185641E+01 -0.12768337E-17
     984 -0.53189198E+01 -0.12768382E-17
     985 -0.53193432E+01 -0.12768603E-17
     986 -0.53197440E+01 -0.12768644E-17
     987 -0.53200962E+01 -0.12768733E-17
     988 -0.53202877E+01 -0.12768688E-17
     989 -0.53206415E+01 -0.12768689E-17
     990 -0.53208443E+01 -0.12768747E-17
     991 -0.53213080E+01 -0.12768776E-17
     992 -0.53217411E+01 -0.12768909E-17
     993 -0.53220480E+01 -0.12768827E-17
     994 -0.53224834E+01 -0.12769040E-17
     995 -0.53230374E+01 -0.12768996E-17
     996 -0.53237263E+01 -0.12769483E-17
     997 -0.53246781E+01 -0.12769038E-17
     998 -0.53251613E+01 -0.12769545E-17
     999 -0.53258008E+01 -0.12769650E-17
    1000 -0.53263046E+01 -0.12769623E-17
    1001 -0.53268128E+01 -0.12769740E-17
    1002 -0.53273460E+01 -0.12769919E-17
    1003 -0.53281790E+01 -0.12769997E-17
    1004 -0.53287609E+01 -0.12770089E-17
    1005 -0.53293140E+01 -0.12770116E-17
    1006 -0.53296140E+01 -0.12770243E-17
    1007 -0.53300212E+01 -0.12770256E-17
    1008 -0.53304412E+01 -0.12770542E-17
    1009 -0.53307600E+01 -0.12770582E-17
    1010 -0.53313253E+01 -0.12770649E-17
    1011 -0.53315899E+01 -0.12770632E-17
    1012 -0.53321611E+01 -0.12770571E-17
    1013 -0.53327043E+01 -0.12770680E-17
    1014 -0.53335350E+01 -0.12770745E-17
