 n     ch_hole col3
     469 -0.49970161E+01 -0.12796085E-17
     470 -0.49981004E+01 -0.12796841E-17
     471 -0.49989386E+01 -0.12796903E-17
     472 -0.50008289E+01 -0.12796782E-17
     473 -0.50017691E+01 -0.12797431E-17
     474 -0.50026350E+01 -0.12797992E-17
     475 -0.50035568E+01 -0.12798157E-17
     476 -0.50047540E+01 -0.12799921E-17
     477 -0.50052041E+01 -0.12800066E-17
     478 -0.50060053E+01 -0.12800578E-17
     479 -0.50073367E+01 -0.12799977E-17
     480 -0.50085475E+01 -0.12799379E-17
     481 -0.50091411E+01 -0.12798946E-17
     482 -0.50103877E+01 -0.12799189E-17
     483 -0.50114852E+01 -0.12799470E-17
     484 -0.50119996E+01 -0.12799284E-17
     485 -0.50126597E+01 -0.12799320E-17
     486 -0.50136879E+01 -0.12798713E-17
     487 -0.50146492E+01 -0.12798969E-17
     488 -0.50152178E+01 -0.12798895E-17
     489 -0.50163246E+01 -0.12799451E-17
     490 -0.50172461E+01 -0.12799838E-17
     491 -0.50177096E+01 -0.12799937E-17
     492 -0.50186493E+01 -0.12800598E-17
     493 -0.50192085E+01 -0.12800641E-17
     494 -0.50196963E+01 -0.12800799E-17
     495 -0.50204904E+01 -0.12801429E-17
     496 -0.50211235E+01 -0.12801591E-17
     497 -0.50217833E+01 -0.12801859E-17
     498 -0.50230181E+01 -0.12801499E-17
     499 -0.50235197E+01 -0.12801910E-17
     500 -0.50238850E+01 -0.12801617E-17
     501 -0.50247221E+01 -0.12801933E-17
     502 -0.50251525E+01 -0.12802216E-17
     503 -0.50256851E+01 -0.12802126E-17
     504 -0.50264269E+01 -0.12802320E-17
     505 -0.50273013E+01 -0.12802204E-17
     506 -0.50279667E+01 -0.12802469E-17
     507 -0.50285118E+01 -0.12802407E-17
     508 -0.50290330E+01 -0.12802593E-17
     509 -0.50297434E+01 -0.12802013E-17
     510 -0.50299371E+01 -0.12802071E-17
     511 -0.50302122E+01 -0.12801920E-17
     512 -0.50306001E+01 -0.12801938E-17
     513 -0.50314946E+01 -0.12801959E-17
     514 -0.50324505E+01 -0.12802250E-17
     515 -0.50330214E+01 -0.12802444E-17
     516 -0.50339607E+01 -0.12802755E-17
     517 -0.50345434E+01 -0.12802815E-17
     518 -0.50353356E+01 -0.12802612E-17
     519 -0.50357899E+01 -0.12802202E-17
     520 -0.50362440E+01 -0.12801934E-17
     521 -0.50375384E+01 -0.12802395E-17
     522 -0.50386208E+01 -0.12801782E-17
     523 -0.50396660E+01 -0.12802195E-17
     524 -0.50410156E+01 -0.12802252E-17
     525 -0.50423687E+01 -0.12802808E-17
     526 -0.50433264E+01 -0.12802979E-17
     527 -0.50443506E+01 -0.12802417E-17
     528 -0.50447806E+01 -0.12802599E-17
     529 -0.50453189E+01 -0.12802729E-17
     530 -0.50460446E+01 -0.12802950E-17
     531 -0.50463974E+01 -0.12802936E-17
     532 -0.50469626E+01 -0.12803100E-17
     533 -0.50480314E+01 -0.12803185E-17
     534 -0.50486893E+01 -0.12803963E-17
     535 -0.50492578E+01 -0.12804574E-17
     536 -0.50503794E+01 -0.12804836E-17
     537 -0.50514095E+01 -0.12804705E-17
     538 -0.50518334E+01 -0.12804350E-17
     539 -0.50524771E+01 -0.12805100E-17
     540 -0.50533951E+01 -0.12805228E-17
     541 -0.50540100E+01 -0.12805478E-17
     542 -0.50545760E+01 -0.12805713E-17
     543 -0.50551036E+01 -0.12805657E-17
     544 -0.50555796E+01 -0.12806319E-17
     545 -0.50562449E+01 -0.12806822E-17
     546 -0.50567126E+01 -0.12807112E-17
     547 -0.50571690E+01 -0.12807290E-17
     548 -0.50578174E+01 -0.12807233E-17
     549 -0.50584505E+01 -0.12807544E-17
     550 -0.50591612E+01 -0.12807644E-17
     551 -0.50597824E+01 -0.12807139E-17
     552 -0.50607355E+01 -0.12806831E-17
     553 -0.50612877E+01 -0.12807301E-17
     554 -0.50628671E+01 -0.12807378E-17
     555 -0.50636377E+01 -0.12807502E-17
     556 -0.50646141E+01 -0.12807572E-17
     557 -0.50652767E+01 -0.12807978E-17
     558 -0.50659030E+01 -0.12807807E-17
     559 -0.50667211E+01 -0.12807754E-17
     560 -0.50674194E+01 -0.12807699E-17
     561 -0.50685753E+01 -0.12807889E-17
     562 -0.50691237E+01 -0.12808120E-17
     563 -0.50699814E+01 -0.12808753E-17
     564 -0.50705019E+01 -0.12809011E-17
     565 -0.50710815E+01 -0.12809161E-17
     566 -0.50715090E+01 -0.12809044E-17
     567 -0.50721833E+01 -0.12808932E-17
     568 -0.50727993E+01 -0.12808850E-17
     569 -0.50735883E+01 -0.12808393E-17
     570 -0.50744025E+01 -0.12808647E-17
     571 -0.50749579E+01 -0.12808716E-17
     572 -0.50755297E+01 -0.12808607E-17
     573 -0.50761942E+01 -0.12808589E-17
     574 -0.50770957E+01 -0.12808837E-17
     575 -0.50774034E+01 -0.12808887E-17
     576 -0.50780253E+01 -0.12809086E-17
     577 -0.50784145E+01 -0.12809351E-17
     578 -0.50789315E+01 -0.12809496E-17
     579 -0.50791848E+01 -0.12809341E-17
     580 -0.50796690E+01 -0.12809463E-17
