 n     ch_hole col3 
    2963 -0.58008608E+01 -0.12923311E-17
    2964 -0.58009329E+01 -0.12923305E-17
    2965 -0.58010346E+01 -0.12923294E-17
    2966 -0.58012058E+01 -0.12923302E-17
    2967 -0.58013449E+01 -0.12923288E-17
    2968 -0.58014992E+01 -0.12923323E-17
    2969 -0.58016018E+01 -0.12923308E-17
    2970 -0.58016987E+01 -0.12923307E-17
    2971 -0.58018372E+01 -0.12923284E-17
    2972 -0.58019739E+01 -0.12923276E-17
    2973 -0.58020465E+01 -0.12923292E-17
    2974 -0.58021731E+01 -0.12923295E-17
    2975 -0.58023257E+01 -0.12923330E-17
    2976 -0.58024847E+01 -0.12923363E-17
    2977 -0.58026449E+01 -0.12923352E-17
    2978 -0.58027226E+01 -0.12923359E-17
    2979 -0.58028466E+01 -0.12923374E-17
    2980 -0.58029449E+01 -0.12923375E-17
    2981 -0.58030529E+01 -0.12923396E-17
    2982 -0.58031839E+01 -0.12923362E-17
    2983 -0.58032875E+01 -0.12923377E-17
    2984 -0.58034116E+01 -0.12923381E-17
    2985 -0.58034832E+01 -0.12923345E-17
    2986 -0.58035845E+01 -0.12923356E-17
    2987 -0.58037038E+01 -0.12923340E-17
    2988 -0.58038311E+01 -0.12923318E-17
    2989 -0.58040179E+01 -0.12923378E-17
    2990 -0.58041489E+01 -0.12923405E-17
    2991 -0.58042810E+01 -0.12923477E-17
    2992 -0.58043860E+01 -0.12923495E-17
    2993 -0.58045517E+01 -0.12923499E-17
    2994 -0.58046706E+01 -0.12923491E-17
    2995 -0.58048100E+01 -0.12923432E-17
    2996 -0.58049450E+01 -0.12923451E-17
    2997 -0.58050181E+01 -0.12923458E-17
    2998 -0.58051563E+01 -0.12923467E-17
    2999 -0.58052884E+01 -0.12923457E-17
    3000 -0.58053759E+01 -0.12923442E-17
    3001 -0.58055043E+01 -0.12923419E-17
    3002 -0.58055663E+01 -0.12923402E-17
    3003 -0.58056367E+01 -0.12923387E-17
    3004 -0.58058562E+01 -0.12923390E-17
    3005 -0.58060458E+01 -0.12923408E-17
    3006 -0.58062030E+01 -0.12923379E-17
    3007 -0.58062906E+01 -0.12923358E-17
    3008 -0.58063519E+01 -0.12923362E-17
    3009 -0.58064451E+01 -0.12923359E-17
    3010 -0.58065296E+01 -0.12923357E-17
    3011 -0.58066370E+01 -0.12923357E-17
    3012 -0.58067382E+01 -0.12923337E-17
    3013 -0.58068538E+01 -0.12923338E-17
    3014 -0.58069810E+01 -0.12923346E-17
    3015 -0.58071290E+01 -0.12923322E-17
    3016 -0.58072443E+01 -0.12923318E-17
    3017 -0.58073450E+01 -0.12923316E-17
    3018 -0.58074584E+01 -0.12923332E-17
    3019 -0.58075657E+01 -0.12923363E-17
    3020 -0.58077565E+01 -0.12923354E-17
    3021 -0.58079234E+01 -0.12923361E-17
    3022 -0.58080745E+01 -0.12923320E-17
    3023 -0.58081862E+01 -0.12923332E-17
    3024 -0.58083495E+01 -0.12923312E-17
    3025 -0.58084581E+01 -0.12923318E-17
    3026 -0.58085897E+01 -0.12923281E-17
    3027 -0.58087906E+01 -0.12923259E-17
    3028 -0.58089796E+01 -0.12923279E-17
    3029 -0.58091580E+01 -0.12923255E-17
    3030 -0.58092746E+01 -0.12923229E-17
    3031 -0.58093604E+01 -0.12923206E-17
    3032 -0.58094527E+01 -0.12923200E-17
    3033 -0.58095381E+01 -0.12923180E-17
    3034 -0.58095861E+01 -0.12923184E-17
    3035 -0.58096844E+01 -0.12923173E-17
    3036 -0.58097813E+01 -0.12923183E-17
    3037 -0.58098997E+01 -0.12923192E-17
    3038 -0.58099979E+01 -0.12923182E-17
    3039 -0.58101055E+01 -0.12923192E-17
    3040 -0.58102540E+01 -0.12923223E-17
    3041 -0.58103642E+01 -0.12923196E-17
    3042 -0.58104613E+01 -0.12923219E-17
    3043 -0.58105676E+01 -0.12923224E-17
    3044 -0.58106452E+01 -0.12923213E-17
    3045 -0.58107160E+01 -0.12923200E-17
    3046 -0.58108075E+01 -0.12923207E-17
    3047 -0.58109284E+01 -0.12923208E-17
    3048 -0.58110063E+01 -0.12923217E-17
    3049 -0.58110818E+01 -0.12923209E-17
    3050 -0.58111668E+01 -0.12923203E-17
    3051 -0.58113358E+01 -0.12923186E-17
    3052 -0.58113896E+01 -0.12923197E-17
    3053 -0.58115552E+01 -0.12923167E-17
