n ch_hole col3
    1132 -0.67248311E+01 -0.93335793E-17
    1133 -0.67257113E+01 -0.93337853E-17
    1134 -0.67267386E+01 -0.93344626E-17
    1135 -0.67274555E+01 -0.93344221E-17
    1136 -0.67281642E+01 -0.93344273E-17
    1137 -0.67288853E+01 -0.93346641E-17
    1138 -0.67298598E+01 -0.93350507E-17
    1139 -0.67307859E+01 -0.93349712E-17
    1140 -0.67314275E+01 -0.93353027E-17
    1141 -0.67321664E+01 -0.93355700E-17
    1142 -0.67328795E+01 -0.93354756E-17
    1143 -0.67337108E+01 -0.93358063E-17
    1144 -0.67348937E+01 -0.93364110E-17
    1145 -0.67360471E+01 -0.93365596E-17
    1146 -0.67370096E+01 -0.93370348E-17
    1147 -0.67379126E+01 -0.93373684E-17
    1148 -0.67390135E+01 -0.93369216E-17
    1149 -0.67400166E+01 -0.93370794E-17
    1150 -0.67410525E+01 -0.93375391E-17
    1151 -0.67421454E+01 -0.93379473E-17
    1152 -0.67432228E+01 -0.93388163E-17
    1153 -0.67441638E+01 -0.93389156E-17
    1154 -0.67451880E+01 -0.93390744E-17
    1155 -0.67461690E+01 -0.93391868E-17
    1156 -0.67472504E+01 -0.93390628E-17
    1157 -0.67480424E+01 -0.93391889E-17
    1158 -0.67488551E+01 -0.93392151E-17
    1159 -0.67496145E+01 -0.93391210E-17
    1160 -0.67504867E+01 -0.93390356E-17
    1161 -0.67512582E+01 -0.93393331E-17
    1162 -0.67520377E+01 -0.93396567E-17
    1163 -0.67529683E+01 -0.93400033E-17
    1164 -0.67539684E+01 -0.93402552E-17
    1165 -0.67547884E+01 -0.93404562E-17
    1166 -0.67557327E+01 -0.93403944E-17
    1167 -0.67567074E+01 -0.93405061E-17
    1168 -0.67574656E+01 -0.93404586E-17
    1169 -0.67584326E+01 -0.93408044E-17
    1170 -0.67591960E+01 -0.93408403E-17
    1171 -0.67599781E+01 -0.93408475E-17
    1172 -0.67607735E+01 -0.93408271E-17
    1173 -0.67616750E+01 -0.93411509E-17
    1174 -0.67623094E+01 -0.93413292E-17
    1175 -0.67629808E+01 -0.93411112E-17
    1176 -0.67636390E+01 -0.93410599E-17
    1177 -0.67644071E+01 -0.93405436E-17
    1178 -0.67653333E+01 -0.93407379E-17
    1179 -0.67661122E+01 -0.93409774E-17
    1180 -0.67668957E+01 -0.93409683E-17
    1181 -0.67678938E+01 -0.93414193E-17
    1182 -0.67688210E+01 -0.93419066E-17
    1183 -0.67695830E+01 -0.93421879E-17
    1184 -0.67704402E+01 -0.93423932E-17
    1185 -0.67712111E+01 -0.93424434E-17
    1186 -0.67719040E+01 -0.93424305E-17
    1187 -0.67727035E+01 -0.93422742E-17
    1188 -0.67733842E+01 -0.93424472E-17
    1189 -0.67741909E+01 -0.93423285E-17
    1190 -0.67750990E+01 -0.93428564E-17
    1191 -0.67759924E+01 -0.93428993E-17
    1192 -0.67768714E+01 -0.93428257E-17
    1193 -0.67776660E+01 -0.93426994E-17
    1194 -0.67785880E+01 -0.93429096E-17
    1195 -0.67794209E+01 -0.93430147E-17
    1196 -0.67803378E+01 -0.93433077E-17
    1197 -0.67812389E+01 -0.93435906E-17
    1198 -0.67821153E+01 -0.93438545E-17
    1199 -0.67827982E+01 -0.93436778E-17
    1200 -0.67837311E+01 -0.93433933E-17
    1201 -0.67847316E+01 -0.93428931E-17
    1202 -0.67856460E+01 -0.93428528E-17
    1203 -0.67864319E+01 -0.93429101E-17
    1204 -0.67872839E+01 -0.93430105E-17
    1205 -0.67880616E+01 -0.93434469E-17
    1206 -0.67888794E+01 -0.93433161E-17
    1207 -0.67896062E+01 -0.93436631E-17
    1208 -0.67903582E+01 -0.93439476E-17
    1209 -0.67910000E+01 -0.93440287E-17
    1210 -0.67916829E+01 -0.93444308E-17
    1211 -0.67927626E+01 -0.93439537E-17
    1212 -0.67935250E+01 -0.93436508E-17
    1213 -0.67943010E+01 -0.93436456E-17
    1214 -0.67951164E+01 -0.93439142E-17
    1215 -0.67958421E+01 -0.93439086E-17
    1216 -0.67965030E+01 -0.93441070E-17
    1217 -0.67973212E+01 -0.93442166E-17
    1218 -0.67980038E+01 -0.93446170E-17
    1219 -0.67987364E+01 -0.93446301E-17
    1220 -0.67996067E+01 -0.93451876E-17
    1221 -0.68003718E+01 -0.93452947E-17
    1222 -0.68010599E+01 -0.93451439E-17
    1223 -0.68016676E+01 -0.93452878E-17
    1224 -0.68025015E+01 -0.93454749E-17
    1225 -0.68033320E+01 -0.93459116E-17
    1226 -0.68040399E+01 -0.93455332E-17
    1227 -0.68047589E+01 -0.93457830E-17
    1228 -0.68056273E+01 -0.93458789E-17
    1229 -0.68063165E+01 -0.93456402E-17
    1230 -0.68070789E+01 -0.93455899E-17
    1231 -0.68077338E+01 -0.93457004E-17
    1232 -0.68085215E+01 -0.93463615E-17
    1233 -0.68093248E+01 -0.93460689E-17
    1234 -0.68100862E+01 -0.93457487E-17
    1235 -0.68107899E+01 -0.93459255E-17
    1236 -0.68114403E+01 -0.93460842E-17
    1237 -0.68119880E+01 -0.93462696E-17
    1238 -0.68126822E+01 -0.93464024E-17
    1239 -0.68133978E+01 -0.93460060E-17
    1240 -0.68142262E+01 -0.93455501E-17
    1241 -0.68150055E+01 -0.93455724E-17
    1242 -0.68155962E+01 -0.93454951E-17
    1243 -0.68163239E+01 -0.93454617E-17
    1244 -0.68169382E+01 -0.93453193E-17
    1245 -0.68176356E+01 -0.93454522E-17
    1246 -0.68182892E+01 -0.93454371E-17
    1247 -0.68191323E+01 -0.93456191E-17
    1248 -0.68198655E+01 -0.93458672E-17
    1249 -0.68205890E+01 -0.93456365E-17
    1250 -0.68213742E+01 -0.93453843E-17
    1251 -0.68220436E+01 -0.93454367E-17
    1252 -0.68226553E+01 -0.93453080E-17
    1253 -0.68234323E+01 -0.93455574E-17
    1254 -0.68241335E+01 -0.93454279E-17
    1255 -0.68247598E+01 -0.93452138E-17
    1256 -0.68253785E+01 -0.93452818E-17
    1257 -0.68260343E+01 -0.93451611E-17
    1258 -0.68267882E+01 -0.93452628E-17
    1259 -0.68275212E+01 -0.93455015E-17
    1260 -0.68282023E+01 -0.93457435E-17
    1261 -0.68289205E+01 -0.93458841E-17
    1262 -0.68295920E+01 -0.93458980E-17
    1263 -0.68300770E+01 -0.93458197E-17
    1264 -0.68307546E+01 -0.93459820E-17
    1265 -0.68314443E+01 -0.93458794E-17
    1266 -0.68320563E+01 -0.93459020E-17
    1267 -0.68326342E+01 -0.93457787E-17
    1268 -0.68333110E+01 -0.93455921E-17
    1269 -0.68339949E+01 -0.93456698E-17
    1270 -0.68346736E+01 -0.93457240E-17
    1271 -0.68352201E+01 -0.93458665E-17
    1272 -0.68358309E+01 -0.93456067E-17
    1273 -0.68366488E+01 -0.93460161E-17
    1274 -0.68372916E+01 -0.93458209E-17
    1275 -0.68380929E+01 -0.93458382E-17
    1276 -0.68387142E+01 -0.93456035E-17
    1277 -0.68395069E+01 -0.93457659E-17
    1278 -0.68401579E+01 -0.93458450E-17
    1279 -0.68408788E+01 -0.93456338E-17
    1280 -0.68414827E+01 -0.93454869E-17
    1281 -0.68421473E+01 -0.93454856E-17
    1282 -0.68429364E+01 -0.93453662E-17
    1283 -0.68435155E+01 -0.93453369E-17
    1284 -0.68442412E+01 -0.93453731E-17
    1285 -0.68448524E+01 -0.93455643E-17
    1286 -0.68454243E+01 -0.93455618E-17
    1287 -0.68461090E+01 -0.93456913E-17
    1288 -0.68467896E+01 -0.93458235E-17
    1289 -0.68475064E+01 -0.93456478E-17
    1290 -0.68483706E+01 -0.93457380E-17
    1291 -0.68492279E+01 -0.93460799E-17
    1292 -0.68499715E+01 -0.93462502E-17
    1293 -0.68508056E+01 -0.93461471E-17
    1294 -0.68514033E+01 -0.93462874E-17
    1295 -0.68521820E+01 -0.93462689E-17
    1296 -0.68528220E+01 -0.93459709E-17
    1297 -0.68535080E+01 -0.93460586E-17
    1298 -0.68541301E+01 -0.93462598E-17
    1299 -0.68548786E+01 -0.93463164E-17
    1300 -0.68555958E+01 -0.93464596E-17
    1301 -0.68562995E+01 -0.93466348E-17
    1302 -0.68569809E+01 -0.93471791E-17
    1303 -0.68577809E+01 -0.93470172E-17
    1304 -0.68584904E+01 -0.93468089E-17
    1305 -0.68592192E+01 -0.93470276E-17
    1306 -0.68600246E+01 -0.93471602E-17
    1307 -0.68608009E+01 -0.93468432E-17
    1308 -0.68616565E+01 -0.93469611E-17
    1309 -0.68624982E+01 -0.93471322E-17
    1310 -0.68634037E+01 -0.93476225E-17
    1311 -0.68641502E+01 -0.93476556E-17
    1312 -0.68649729E+01 -0.93477161E-17
    1313 -0.68657193E+01 -0.93477851E-17
    1314 -0.68665598E+01 -0.93480120E-17
    1315 -0.68672270E+01 -0.93482224E-17
    1316 -0.68680067E+01 -0.93480794E-17
    1317 -0.68688147E+01 -0.93480717E-17
    1318 -0.68695815E+01 -0.93481505E-17
    1319 -0.68703712E+01 -0.93477627E-17
    1320 -0.68710288E+01 -0.93478970E-17
    1321 -0.68718492E+01 -0.93483127E-17
    1322 -0.68727376E+01 -0.93481191E-17
    1323 -0.68735484E+01 -0.93477839E-17
    1324 -0.68741945E+01 -0.93476473E-17
    1325 -0.68748471E+01 -0.93476206E-17
    1326 -0.68755305E+01 -0.93476327E-17
    1327 -0.68765246E+01 -0.93472013E-17
    1328 -0.68772738E+01 -0.93470968E-17
    1329 -0.68781148E+01 -0.93472177E-17
    1330 -0.68791732E+01 -0.93471360E-17
    1331 -0.68798471E+01 -0.93470927E-17
    1332 -0.68805548E+01 -0.93471521E-17
    1333 -0.68813038E+01 -0.93473317E-17
    1334 -0.68821186E+01 -0.93471850E-17
    1335 -0.68829879E+01 -0.93470397E-17
    1336 -0.68836740E+01 -0.93472840E-17
    1337 -0.68842941E+01 -0.93472438E-17
    1338 -0.68849674E+01 -0.93473269E-17
    1339 -0.68858170E+01 -0.93473949E-17
    1340 -0.68864332E+01 -0.93474630E-17
    1341 -0.68870873E+01 -0.93475392E-17
    1342 -0.68878996E+01 -0.93474846E-17
    1343 -0.68886277E+01 -0.93476202E-17
    1344 -0.68895036E+01 -0.93479757E-17
    1345 -0.68902200E+01 -0.93477946E-17
    1346 -0.68908028E+01 -0.93478884E-17
    1347 -0.68914596E+01 -0.93476375E-17
    1348 -0.68920836E+01 -0.93475496E-17
    1349 -0.68927612E+01 -0.93475385E-17
    1350 -0.68935399E+01 -0.93478132E-17
    1351 -0.68941370E+01 -0.93479701E-17
    1352 -0.68948262E+01 -0.93476122E-17
    1353 -0.68955896E+01 -0.93475105E-17
    1354 -0.68962190E+01 -0.93477657E-17
    1355 -0.68968333E+01 -0.93479480E-17
    1356 -0.68973831E+01 -0.93479329E-17
    1357 -0.68980307E+01 -0.93477164E-17
    1358 -0.68986789E+01 -0.93477275E-17
    1359 -0.68992793E+01 -0.93476899E-17
    1360 -0.68998250E+01 -0.93478424E-17
    1361 -0.69005413E+01 -0.93477415E-17
    1362 -0.69012457E+01 -0.93475408E-17
    1363 -0.69019706E+01 -0.93471667E-17
    1364 -0.69025185E+01 -0.93470012E-17
    1365 -0.69032440E+01 -0.93471900E-17
    1366 -0.69040394E+01 -0.93472205E-17
    1367 -0.69047028E+01 -0.93471552E-17
    1368 -0.69054367E+01 -0.93472803E-17
