n ch_hole col3 col4 col5
    1000 -0.65627972E+01 -0.12503416E-16 -0.74079930E+01  0.33847991E-17
    1001 -0.65641522E+01 -0.12503436E-16 -0.74079930E+01  0.33847991E-17
    1002 -0.65653427E+01 -0.12503716E-16 -0.74079930E+01  0.33847991E-17
    1003 -0.65667788E+01 -0.12505292E-16 -0.74079930E+01  0.33847991E-17
    1004 -0.65680831E+01 -0.12506024E-16 -0.74079930E+01  0.33847991E-17
    1005 -0.65692399E+01 -0.12506821E-16 -0.74079930E+01  0.33847991E-17
    1006 -0.65705391E+01 -0.12507532E-16 -0.74079930E+01  0.33847991E-17
    1007 -0.65719152E+01 -0.12505193E-16 -0.74079930E+01  0.33847991E-17
    1008 -0.65733232E+01 -0.12505370E-16 -0.74079930E+01  0.33847991E-17
    1009 -0.65748256E+01 -0.12504282E-16 -0.74079930E+01  0.33847991E-17
    1010 -0.65765713E+01 -0.12507906E-16 -0.74079930E+01  0.33847991E-17
    1011 -0.65780058E+01 -0.12507526E-16 -0.74079930E+01  0.33847991E-17
    1012 -0.65797586E+01 -0.12511133E-16 -0.74079930E+01  0.33847991E-17
    1013 -0.65814384E+01 -0.12514471E-16 -0.74079930E+01  0.33847991E-17
    1014 -0.65831107E+01 -0.12517372E-16 -0.74079930E+01  0.33847991E-17
    1015 -0.65848838E+01 -0.12522219E-16 -0.74079930E+01  0.33847991E-17
    1016 -0.65863059E+01 -0.12523853E-16 -0.74079930E+01  0.33847991E-17
    1017 -0.65876456E+01 -0.12524757E-16 -0.74079930E+01  0.33847991E-17
    1018 -0.65894107E+01 -0.12527354E-16 -0.74079930E+01  0.33847991E-17
    1019 -0.65913715E+01 -0.12534113E-16 -0.74079930E+01  0.33847991E-17
    1020 -0.65934243E+01 -0.12539290E-16 -0.74079930E+01  0.33847991E-17
    1021 -0.65956042E+01 -0.12546396E-16 -0.74079930E+01  0.33847991E-17
    1022 -0.65972553E+01 -0.12548977E-16 -0.74079930E+01  0.33847991E-17
    1023 -0.65997477E+01 -0.12551863E-16 -0.74079930E+01  0.33847991E-17
    1024 -0.66016583E+01 -0.12554654E-16 -0.74079930E+01  0.33847991E-17
    1025 -0.66031364E+01 -0.12557088E-16 -0.74079930E+01  0.33847991E-17
    1026 -0.66048073E+01 -0.12559091E-16 -0.74079930E+01  0.33847991E-17
    1027 -0.66061813E+01 -0.12561261E-16 -0.74079930E+01  0.33847991E-17
    1028 -0.66075436E+01 -0.12564126E-16 -0.74079930E+01  0.33847991E-17
    1029 -0.66088861E+01 -0.12565016E-16 -0.74079930E+01  0.33847991E-17
    1030 -0.66104637E+01 -0.12566476E-16 -0.74079930E+01  0.33847991E-17
    1031 -0.66116400E+01 -0.12568266E-16 -0.74079930E+01  0.33847991E-17
    1032 -0.66130668E+01 -0.12570482E-16 -0.74079930E+01  0.33847991E-17
    1033 -0.66147371E+01 -0.12572425E-16 -0.74079930E+01  0.33847991E-17
    1034 -0.66164195E+01 -0.12573050E-16 -0.74079930E+01  0.33847991E-17
    1035 -0.66179209E+01 -0.12573770E-16 -0.74079930E+01  0.33847991E-17
    1036 -0.66194519E+01 -0.12574971E-16 -0.74079930E+01  0.33847991E-17
    1037 -0.66208338E+01 -0.12575478E-16 -0.74079930E+01  0.33847991E-17
    1038 -0.66222223E+01 -0.12576258E-16 -0.74079930E+01  0.33847991E-17
    1039 -0.66237358E+01 -0.12578712E-16 -0.74079930E+01  0.33847991E-17
    1040 -0.66254025E+01 -0.12580974E-16 -0.74079930E+01  0.33847991E-17
    1041 -0.66269649E+01 -0.12580945E-16 -0.74079930E+01  0.33847991E-17
    1042 -0.66281186E+01 -0.12580770E-16 -0.74079930E+01  0.33847991E-17
    1043 -0.66293662E+01 -0.12580602E-16 -0.74079930E+01  0.33847991E-17
    1044 -0.66304131E+01 -0.12580333E-16 -0.74079930E+01  0.33847991E-17
    1045 -0.66315624E+01 -0.12580583E-16 -0.74079930E+01  0.33847991E-17
    1046 -0.66327202E+01 -0.12581265E-16 -0.74079930E+01  0.33847991E-17
    1047 -0.66339025E+01 -0.12581190E-16 -0.74079930E+01  0.33847991E-17
    1048 -0.66352668E+01 -0.12580182E-16 -0.74079930E+01  0.33847991E-17
    1049 -0.66366001E+01 -0.12579852E-16 -0.74079930E+01  0.33847991E-17
    1050 -0.66378572E+01 -0.12579751E-16 -0.74079930E+01  0.33847991E-17
    1051 -0.66392638E+01 -0.12579220E-16 -0.74079930E+01  0.33847991E-17
    1052 -0.66405321E+01 -0.12578447E-16 -0.74079930E+01  0.33847991E-17
    1053 -0.66423326E+01 -0.12581050E-16 -0.74079930E+01  0.33847991E-17
    1054 -0.66436330E+01 -0.12580594E-16 -0.74079930E+01  0.33847991E-17
    1055 -0.66452962E+01 -0.12581291E-16 -0.74079930E+01  0.33847991E-17
    1056 -0.66470144E+01 -0.12582379E-16 -0.74079930E+01  0.33847991E-17
    1057 -0.66482726E+01 -0.12582406E-16 -0.74079930E+01  0.33847991E-17
    1058 -0.66496778E+01 -0.12581378E-16 -0.74079930E+01  0.33847991E-17
    1059 -0.66509374E+01 -0.12580525E-16 -0.74079930E+01  0.33847991E-17
    1060 -0.66520977E+01 -0.12580442E-16 -0.74079930E+01  0.33847991E-17
    1061 -0.66533096E+01 -0.12581384E-16 -0.74079930E+01  0.33847991E-17
    1062 -0.66544221E+01 -0.12581573E-16 -0.74079930E+01  0.33847991E-17
    1063 -0.66557022E+01 -0.12582197E-16 -0.74079930E+01  0.33847991E-17
